Module,Screen/Modal Name,Type,Task Description,UI Design Link (Figma/AI),Documentation Link (Before/After),PR Link,Status (Done?),Date Completed
Core,GlobalSearch,Screen,Create design -> Apply code -> PR -> Docs, , , ,[], 
Core,Home,Modal,Create design -> Apply code -> PR -> Docs, , , ,[], 
Core,DashboardHero,Modal,Create design -> Apply code -> PR -> Docs, , , ,[], 
Core,JoinGamesSection,Screen,Create design -> Apply code -> PR -> Docs, , , ,[], 
Core,LandingHeroTemplate,Screen,Create design -> Apply code -> PR -> Docs, , , ,[], 
Core,PlayersSection,Screen,Create design -> Apply code -> PR -> Docs, , , ,[], 
Core,ProfessionalsSection,Screen,Create design -> Apply code -> PR -> Docs, , , ,[], 
Core,SocialArenaSection,Screen,Create design -> Apply code -> PR -> Docs, , , ,[], 
Core,TestimonialMarquee,Screen,Create design -> Apply code -> PR -> Docs, , , ,[], 
Core,VenuesSection,Modal,Create design -> Apply code -> PR -> Docs, , , ,[], 
Core,LandingPage,Screen,Create design -> Apply code -> PR -> Docs, , , ,[], 
Core,NewPostLanding,Screen,Create design -> Apply code -> PR -> Docs, , , ,[], 
auth,AuthModal,Modal,Create design -> Apply code -> PR -> Docs, , , ,[], 
auth,ForgotPassword,Screen,Create design -> Apply code -> PR -> Docs, , , ,[], 
auth,Login,Modal,Create design -> Apply code -> PR -> Docs, , , ,[], 
auth,SignUp,Modal,Create design -> Apply code -> PR -> Docs, , , ,[], 
blogs,BlogDetail,Screen,Create design -> Apply code -> PR -> Docs, , , ,[], 
blogs,Blogs,Screen,Create design -> Apply code -> PR -> Docs, , , ,[], 
business,BusinessRegistration,Modal,Create design -> Apply code -> PR -> Docs, , , ,[], 
business,ClaimVenueInvite,Screen,Create design -> Apply code -> PR -> Docs, , , ,[], 
business,ProfessionalLanding,Modal,Create design -> Apply code -> PR -> Docs, , , ,[], 
business,VenueOwnerLanding,Modal,Create design -> Apply code -> PR -> Docs, , , ,[], 
chat,AddGroupToCommunityModal,Modal,Create design -> Apply code -> PR -> Docs, , , ,[], 
chat,ChatSidebar,Modal,Create design -> Apply code -> PR -> Docs, , , ,[], 
chat,ChatWindow,Modal,Create design -> Apply code -> PR -> Docs, , , ,[], 
chat,CreateCommunityModal,Modal,Create design -> Apply code -> PR -> Docs, , , ,[], 
chat,CreateGroupModal,Modal,Create design -> Apply code -> PR -> Docs, , , ,[], 
chat,GroupInfoModal,Modal,Create design -> Apply code -> PR -> Docs, , , ,[], 
chat,ManageCommunityAdminsModal,Modal,Create design -> Apply code -> PR -> Docs, , , ,[], 
chat,Messages,Modal,Create design -> Apply code -> PR -> Docs, , , ,[], 
games,GameDetailsModal,Modal,Create design -> Apply code -> PR -> Docs, , , ,[], 
games,LookingForDetailModal,Modal,Create design -> Apply code -> PR -> Docs, , , ,[], 
games,HostGame,Modal,Create design -> Apply code -> PR -> Docs, , , ,[], 
games,HostGameLanding,Screen,Create design -> Apply code -> PR -> Docs, , , ,[], 
games,JoinGameDetails,Modal,Create design -> Apply code -> PR -> Docs, , , ,[], 
games,JoinGames,Modal,Create design -> Apply code -> PR -> Docs, , , ,[], 
games,LookingForWizard,Modal,Create design -> Apply code -> PR -> Docs, , , ,[], 
games,MatchDetails,Screen,Create design -> Apply code -> PR -> Docs, , , ,[], 
games,MyHostedGames,Modal,Create design -> Apply code -> PR -> Docs, , , ,[], 
games,MyJoinedGames,Modal,Create design -> Apply code -> PR -> Docs, , , ,[], 
games,ProMatchWizard,Modal,Create design -> Apply code -> PR -> Docs, , , ,[], 
games,QuickMatchWizard,Modal,Create design -> Apply code -> PR -> Docs, , , ,[], 
leaderboard,Leaderboard,Screen,Create design -> Apply code -> PR -> Docs, , , ,[], 
legal,ContactUs,Screen,Create design -> Apply code -> PR -> Docs, , , ,[], 
legal,DataDeletionInstructions,Screen,Create design -> Apply code -> PR -> Docs, , , ,[], 
legal,FAQ,Screen,Create design -> Apply code -> PR -> Docs, , , ,[], 
legal,PrivacyPolicy,Screen,Create design -> Apply code -> PR -> Docs, , , ,[], 
legal,TermsOfService,Screen,Create design -> Apply code -> PR -> Docs, , , ,[], 
networking,CommunityFeed,Modal,Create design -> Apply code -> PR -> Docs, , , ,[], 
networking,DeleteConfirmModal,Modal,Create design -> Apply code -> PR -> Docs, , , ,[], 
networking,PostDetailModal,Modal,Create design -> Apply code -> PR -> Docs, , , ,[], 
networking,PracticeScheduling,Modal,Create design -> Apply code -> PR -> Docs, , , ,[], 
networking,ProfessionalCustomers,Modal,Create design -> Apply code -> PR -> Docs, , , ,[], 
networking,ReportModal,Modal,Create design -> Apply code -> PR -> Docs, , , ,[], 
networking,ShareModal,Modal,Create design -> Apply code -> PR -> Docs, , , ,[], 
networking,Community,Modal,Create design -> Apply code -> PR -> Docs, , , ,[], 
networking,CreatePostPage,Screen,Create design -> Apply code -> PR -> Docs, , , ,[], 
networking,CreateStoryPage,Screen,Create design -> Apply code -> PR -> Docs, , , ,[], 
networking,FindPlayers,Screen,Create design -> Apply code -> PR -> Docs, , , ,[], 
networking,FindProfessionals,Modal,Create design -> Apply code -> PR -> Docs, , , ,[], 
notifications,NotificationsPage,Screen,Create design -> Apply code -> PR -> Docs, , , ,[], 
partner-profile,DashboardProfile,Screen,Create design -> Apply code -> PR -> Docs, , , ,[], 
professional,BookingsTab,Screen,Create design -> Apply code -> PR -> Docs, , , ,[], 
professional,OverviewTab,Modal,Create design -> Apply code -> PR -> Docs, , , ,[], 
professional,PayoutsTab,Modal,Create design -> Apply code -> PR -> Docs, , , ,[], 
professional,ProfessionalDashboard,Screen,Create design -> Apply code -> PR -> Docs, , , ,[], 
professional,ReviewsTab,Screen,Create design -> Apply code -> PR -> Docs, , , ,[], 
professional,SupportTab,Screen,Create design -> Apply code -> PR -> Docs, , , ,[], 
professional,TrustScoreHistory,Screen,Create design -> Apply code -> PR -> Docs, , , ,[], 
profile,EditProfileModal,Modal,Create design -> Apply code -> PR -> Docs, , , ,[], 
profile,RequestProModal,Modal,Create design -> Apply code -> PR -> Docs, , , ,[], 
profile,Profile,Modal,Create design -> Apply code -> PR -> Docs, , , ,[], 
reels,ReelItem,Modal,Create design -> Apply code -> PR -> Docs, , , ,[], 
reels,ReelAnalytics,Screen,Create design -> Apply code -> PR -> Docs, , , ,[], 
reels,ReelsFeed,Screen,Create design -> Apply code -> PR -> Docs, , , ,[], 
reels,UploadReel,Screen,Create design -> Apply code -> PR -> Docs, , , ,[], 
saved,SavedPage,Screen,Create design -> Apply code -> PR -> Docs, , , ,[], 
scoring,CustomRunsModal,Modal,Create design -> Apply code -> PR -> Docs, , , ,[], 
scoring,DeleteMatchModal,Modal,Create design -> Apply code -> PR -> Docs, , , ,[], 
scoring,EndMatchModal,Modal,Create design -> Apply code -> PR -> Docs, , , ,[], 
scoring,ExtraRunsModal,Modal,Create design -> Apply code -> PR -> Docs, , , ,[], 
scoring,FieldingPositionModal,Modal,Create design -> Apply code -> PR -> Docs, , , ,[], 
scoring,InningsSetupModal,Modal,Create design -> Apply code -> PR -> Docs, , , ,[], 
scoring,MatchExitModal,Modal,Create design -> Apply code -> PR -> Docs, , , ,[], 
scoring,MatchReportModal,Modal,Create design -> Apply code -> PR -> Docs, , , ,[], 
scoring,PenaltyModal,Modal,Create design -> Apply code -> PR -> Docs, , , ,[], 
scoring,ScoringPasswordModal,Modal,Create design -> Apply code -> PR -> Docs, , , ,[], 
scoring,SelectBowlerModal,Modal,Create design -> Apply code -> PR -> Docs, , , ,[], 
scoring,StartScoringModal,Modal,Create design -> Apply code -> PR -> Docs, , , ,[], 
scoring,TickerThemeStoreModal,Modal,Create design -> Apply code -> PR -> Docs, , , ,[], 
scoring,TossModal,Modal,Create design -> Apply code -> PR -> Docs, , , ,[], 
scoring,VisualWagonWheelModal,Modal,Create design -> Apply code -> PR -> Docs, , , ,[], 
scoring,WicketModal,Modal,Create design -> Apply code -> PR -> Docs, , , ,[], 
scoring,LiveOverlay,Screen,Create design -> Apply code -> PR -> Docs, , , ,[], 
scoring,MatchAnalytics,Screen,Create design -> Apply code -> PR -> Docs, , , ,[], 
scoring,MatchDetails,Screen,Create design -> Apply code -> PR -> Docs, , , ,[], 
scoring,ScoringApp,Modal,Create design -> Apply code -> PR -> Docs, , , ,[], 
scoring,ThemePreview,Screen,Create design -> Apply code -> PR -> Docs, , , ,[], 
teams,AddOpponentModal,Modal,Create design -> Apply code -> PR -> Docs, , , ,[], 
teams,CreateTeamModal,Modal,Create design -> Apply code -> PR -> Docs, , , ,[], 
teams,InviteMemberModal,Modal,Create design -> Apply code -> PR -> Docs, , , ,[], 
teams,SlotSelectionModal,Modal,Create design -> Apply code -> PR -> Docs, , , ,[], 
teams,TeamMembersModal,Modal,Create design -> Apply code -> PR -> Docs, , , ,[], 
teams,TeamSidebar,Modal,Create design -> Apply code -> PR -> Docs, , , ,[], 
teams,TeamPass,Screen,Create design -> Apply code -> PR -> Docs, , , ,[], 
teams,TeamProfile,Modal,Create design -> Apply code -> PR -> Docs, , , ,[], 
teams,Teams,Modal,Create design -> Apply code -> PR -> Docs, , , ,[], 
